,1_ExactMolWt,2_ExactMolWt,3_ExactMolWt,4_ExactMolWt,5_ExactMolWt,6_ExactMolWt,1_Chi0n,2_Chi0n,3_Chi0n,4_Chi0n,5_Chi0n,6_Chi0n,1_Chi0v,2_Chi0v,3_Chi0v,4_Chi0v,5_Chi0v,6_Chi0v,1_FractionCSP3,2_FractionCSP3,3_FractionCSP3,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,1_HeavyAtomCount,2_HeavyAtomCount,3_HeavyAtomCount,4_HeavyAtomCount,5_HeavyAtomCount,6_HeavyAtomCount,1_HeavyAtomMolWt,2_HeavyAtomMolWt,3_HeavyAtomMolWt,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,1_LabuteASA,2_LabuteASA,3_LabuteASA,4_LabuteASA,5_LabuteASA,6_LabuteASA,1_MolLogP,2_MolLogP,3_MolLogP,4_MolLogP,5_MolLogP,6_MolLogP,1_NumAliphaticRings,2_NumAliphaticRings,3_NumAliphaticRings,4_NumAliphaticRings,5_NumAliphaticRings,6_NumAliphaticRings,1_NumAromaticCarbocycles,2_NumAromaticCarbocycles,3_NumAromaticCarbocycles,4_NumAromaticCarbocycles,5_NumAromaticCarbocycles,6_NumAromaticCarbocycles,1_NumHAcceptors,2_NumHAcceptors,3_NumHAcceptors,4_NumHAcceptors,5_NumHAcceptors,6_NumHAcceptors,1_NumHDonors,2_NumHDonors,3_NumHDonors,4_NumHDonors,5_NumHDonors,6_NumHDonors,1_NumRotatableBonds,2_NumRotatableBonds,3_NumRotatableBonds,4_NumRotatableBonds,5_NumRotatableBonds,6_NumRotatableBonds,1_TPSA,2_TPSA,3_TPSA,4_TPSA,5_TPSA,6_TPSA,OUTPUT
0,73.05276384,73.05276384,211.823789,181.0294416,357.2204979,297.1477268,3.432812155,3.432812155,1.377964473,6.724990191,16.76984402,12.73011839,3.432812155,3.432812155,9.244070901,7.480919137,16.76984402,12.73011839,0.666666667,0.666666667,0,0.333333333,0.208333333,0.235294118,5,5,2,12,27,22,66.039,66.039,212.809,173.558,330.285,278.206,31.39049103,31.39049103,83.18596902,75.56977673,162.2081523,129.4755753,-0.2956,-0.2956,-5.992,2.17232,4.8173,4.6464,0,0,0,1,1,0,0,0,0,0,2,2,1,1,0,2,3,4,0,0,0,0,0,1,1,1,0,0,4,6,20.31,20.31,0,29.96,18.84,65.26,1
1,73.05276384,73.05276384,211.823789,181.0294416,357.2204979,382.0874947,3.432812155,3.432812155,1.377964473,6.724990191,16.76984402,14.80092304,3.432812155,3.432812155,9.244070901,7.480919137,16.76984402,15.61741963,0.666666667,0.666666667,0,0.333333333,0.208333333,0.142857143,5,5,2,12,27,27,66.039,66.039,212.809,173.558,330.285,364.293,31.39049103,31.39049103,83.18596902,75.56977673,162.2081523,157.1710017,-0.2956,-0.2956,-5.992,2.17232,4.8173,3.72544,0,0,0,1,1,1,0,0,0,0,2,3,1,1,0,2,3,5,0,0,0,0,0,2,1,1,0,0,4,2,20.31,20.31,0,29.96,18.84,83.83,1
2,73.05276384,73.05276384,211.823789,181.0294416,297.1477268,382.0874947,3.432812155,3.432812155,1.377964473,6.724990191,12.73011839,14.80092304,3.432812155,3.432812155,9.244070901,7.480919137,12.73011839,15.61741963,0.666666667,0.666666667,0,0.333333333,0.235294118,0.142857143,5,5,2,12,22,27,66.039,66.039,212.809,173.558,278.206,364.293,31.39049103,31.39049103,83.18596902,75.56977673,129.4755753,157.1710017,-0.2956,-0.2956,-5.992,2.17232,4.6464,3.72544,0,0,0,1,0,1,0,0,0,0,2,3,1,1,0,2,4,5,0,0,0,0,1,2,1,1,0,0,6,2,20.31,20.31,0,29.96,65.26,83.83,0
3,73.05276384,73.05276384,211.823789,357.2204979,297.1477268,382.0874947,3.432812155,3.432812155,1.377964473,16.76984402,12.73011839,14.80092304,3.432812155,3.432812155,9.244070901,16.76984402,12.73011839,15.61741963,0.666666667,0.666666667,0,0.208333333,0.235294118,0.142857143,5,5,2,27,22,27,66.039,66.039,212.809,330.285,278.206,364.293,31.39049103,31.39049103,83.18596902,162.2081523,129.4755753,157.1710017,-0.2956,-0.2956,-5.992,4.8173,4.6464,3.72544,0,0,0,1,0,1,0,0,0,2,2,3,1,1,0,3,4,5,0,0,0,0,1,2,1,1,0,4,6,2,20.31,20.31,0,18.84,65.26,83.83,1
4,73.05276384,73.05276384,211.823789,181.0294416,297.1477268,510.2298727,3.432812155,3.432812155,1.377964473,6.724990191,12.73011839,21.63571365,3.432812155,3.432812155,9.244070901,7.480919137,12.73011839,22.39164259,0.666666667,0.666666667,0,0.333333333,0.235294118,0.2,5,5,2,12,22,37,66.039,66.039,212.809,173.558,278.206,479.825,31.39049103,31.39049103,83.18596902,75.56977673,129.4755753,223.8673792,-0.2956,-0.2956,-5.992,2.17232,4.6464,3.9963,0,0,0,1,0,0,0,0,0,0,2,4,1,1,0,2,4,5,0,0,0,0,1,0,1,1,0,0,6,7,20.31,20.31,0,29.96,65.26,47.97,1
5,73.05276384,73.05276384,211.823789,181.0294416,382.0874947,510.2298727,3.432812155,3.432812155,1.377964473,6.724990191,14.80092304,21.63571365,3.432812155,3.432812155,9.244070901,7.480919137,15.61741963,22.39164259,0.666666667,0.666666667,0,0.333333333,0.142857143,0.2,5,5,2,12,27,37,66.039,66.039,212.809,173.558,364.293,479.825,31.39049103,31.39049103,83.18596902,75.56977673,157.1710017,223.8673792,-0.2956,-0.2956,-5.992,2.17232,3.72544,3.9963,0,0,0,1,1,0,0,0,0,0,3,4,1,1,0,2,5,5,0,0,0,0,2,0,1,1,0,0,2,7,20.31,20.31,0,29.96,83.83,47.97,1
6,73.05276384,73.05276384,211.823789,382.0874947,297.1477268,510.2298727,3.432812155,3.432812155,1.377964473,14.80092304,12.73011839,21.63571365,3.432812155,3.432812155,9.244070901,15.61741963,12.73011839,22.39164259,0.666666667,0.666666667,0,0.142857143,0.235294118,0.2,5,5,2,27,22,22,66.039,66.039,212.809,364.293,278.206,479.825,31.39049103,31.39049103,83.18596902,157.1710017,129.4755753,223.8673792,-0.2956,-0.2956,-5.992,3.72544,4.6464,3.9963,0,0,0,1,0,0,0,0,0,3,2,4,1,1,0,5,4,5,0,0,0,2,1,0,1,1,0,2,6,7,20.31,20.31,0,83.83,65.26,47.97,1
7,73.05276384,73.05276384,211.823789,357.2204979,297.1477268,510.2298727,3.432812155,3.432812155,1.377964473,16.76984402,12.73011839,21.63571365,3.432812155,3.432812155,9.244070901,16.76984402,12.73011839,22.39164259,0.666666667,0.666666667,0,0.208333333,0.235294118,0.2,5,5,2,27,22,22,66.039,66.039,212.809,330.285,278.206,479.825,31.39049103,31.39049103,83.18596902,162.2081523,129.4755753,223.8673792,-0.2956,-0.2956,-5.992,4.8173,4.6464,3.9963,0,0,0,1,0,0,0,0,0,2,2,4,1,1,0,3,4,5,0,0,0,0,1,0,1,1,0,4,6,7,20.31,20.31,0,18.84,65.26,47.97,1
8,73.05276384,73.05276384,48.97192668,297.1477268,1028.982745,443.2334679,3.432812155,3.432812155,0.825178069,12.73011839,35.78682347,19.76006718,3.432812155,3.432812155,1.581107015,12.73011839,47.05280979,19.76006718,0.666666667,0.666666667,0,0.235294118,0,0.285714286,5,5,2,22,68,33,66.039,66.039,49.46,278.206,1006.704,412.319,31.39049103,31.39049103,19.65732138,129.4755753,474.9719444,194.1164603,-0.2956,-0.2956,-3.4766,4.6464,-3.5342,5.561,0,0,0,0,0,2,0,0,0,2,8,2,1,1,0,4,20,3,0,0,0,1,2,1,1,1,0,6,10,7,20.31,20.31,30.5,65.26,349.21,56.69,0
9,73.05276384,73.05276384,48.97192668,297.1477268,1028.982745,388.2123928,3.432812155,3.432812155,0.825178069,12.73011839,35.78682347,16.63970734,3.432812155,3.432812155,1.581107015,12.73011839,47.05280979,16.63970734,0.666666667,0.666666667,0,0.235294118,0,0.142857143,5,5,2,22,68,29,66.039,66.039,49.46,278.206,1006.704,364.287,31.39049103,31.39049103,19.65732138,129.4755753,474.9719444,168.8935364,-0.2956,-0.2956,-3.4766,4.6464,-3.5342,5.77146,0,0,0,0,0,0,0,0,0,2,8,3,1,1,0,4,20,8,0,0,0,1,2,4,1,1,0,6,10,4,20.31,20.31,30.5,65.26,349.21,153.52,0
