,4_ExactMolWt,5_Chi0n,6_Chi0n,5_Chi0v,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,5_HeavyAtomCount,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,5_LabuteASA,2_MolLogP,4_MolLogP,5_NumHAcceptors,6_NumHDonors,5_NumRotatableBonds,4_TPSA,5_TPSA,6_TPSA,OUTPUT
0,181.0294416,16.76984402,12.73011839,16.76984402,0.333333333,0.208333333,0.235294118,27,173.558,330.285,278.206,162.2081523,-0.2956,2.17232,3,1,4,29.96,18.84,65.26,1
1,181.0294416,16.76984402,14.80092304,16.76984402,0.333333333,0.208333333,0.142857143,27,173.558,330.285,364.293,162.2081523,-0.2956,2.17232,3,2,4,29.96,18.84,83.83,1
2,181.0294416,12.73011839,14.80092304,12.73011839,0.333333333,0.235294118,0.142857143,22,173.558,278.206,364.293,129.4755753,-0.2956,2.17232,4,2,6,29.96,65.26,83.83,0
3,357.2204979,12.73011839,14.80092304,12.73011839,0.208333333,0.235294118,0.142857143,22,330.285,278.206,364.293,129.4755753,-0.2956,4.8173,4,2,6,18.84,65.26,83.83,1
4,181.0294416,12.73011839,21.63571365,12.73011839,0.333333333,0.235294118,0.2,22,173.558,278.206,479.825,129.4755753,-0.2956,2.17232,4,0,6,29.96,65.26,47.97,1
5,181.0294416,14.80092304,21.63571365,15.61741963,0.333333333,0.142857143,0.2,27,173.558,364.293,479.825,157.1710017,-0.2956,2.17232,5,0,2,29.96,83.83,47.97,1
6,382.0874947,12.73011839,21.63571365,12.73011839,0.142857143,0.235294118,0.2,22,364.293,278.206,479.825,129.4755753,-0.2956,3.72544,4,0,6,83.83,65.26,47.97,1
7,357.2204979,12.73011839,21.63571365,12.73011839,0.208333333,0.235294118,0.2,22,330.285,278.206,479.825,129.4755753,-0.2956,4.8173,4,0,6,18.84,65.26,47.97,1
8,297.1477268,35.78682347,19.76006718,47.05280979,0.235294118,0,0.285714286,68,278.206,1006.704,412.319,474.9719444,-0.2956,4.6464,20,1,10,65.26,349.21,56.69,0
9,297.1477268,35.78682347,16.63970734,47.05280979,0.235294118,0,0.142857143,68,278.206,1006.704,364.287,474.9719444,-0.2956,4.6464,20,4,10,65.26,349.21,153.52,0
10,1028.982745,19.76006718,16.63970734,19.76006718,0,0.285714286,0.142857143,33,1006.704,412.319,364.287,194.1164603,-0.2956,-3.5342,3,4,7,349.21,56.69,153.52,0
11,297.1477268,19.76006718,16.63970734,19.76006718,0.235294118,0.285714286,0.142857143,33,278.206,412.319,364.287,194.1164603,-0.2956,4.6464,3,4,7,65.26,56.69,153.52,1
12,443.2334679,16.63970734,34.11465457,16.63970734,0.285714286,0.142857143,0.058823529,29,412.319,364.287,968.628,168.8935364,-0.2956,5.561,8,4,4,56.69,153.52,389.2,0
13,443.2334679,16.63970734,7.058709813,16.63970734,0.285714286,0.142857143,0,29,412.319,364.287,184.106,168.8935364,-0.2956,5.561,8,1,4,56.69,153.52,67.51,1
14,443.2334679,34.11465457,7.058709813,45.38064089,0.285714286,0.058823529,0,64,412.319,968.628,184.106,452.2529366,-0.2956,5.561,20,1,11,56.69,389.2,67.51,1
15,388.2123928,34.11465457,7.058709813,45.38064089,0.142857143,0.058823529,0,64,364.287,968.628,184.106,452.2529366,-0.2956,5.77146,20,1,11,153.52,389.2,67.51,0
16,388.2123928,14.80092304,35.78682347,15.61741963,0.142857143,0.142857143,0,27,364.287,364.293,1006.704,157.1710017,-0.2956,5.77146,5,2,2,153.52,83.83,349.21,1
