,4_ExactMolWt,5_Chi0n,6_Chi0n,5_Chi0v,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,5_HeavyAtomCount,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,5_LabuteASA,2_MolLogP,4_MolLogP,5_NumHAcceptors,6_NumHDonors,5_NumRotatableBonds,4_TPSA,5_TPSA,6_TPSA,OUTPUT
0,382.0874947,14.80092304,14.80092304,15.61741963,0.142857143,0.142857143,0.142857143,27,364.293,364.293,364.293,157.1710017,-0.2956,3.72544,5,2,2,83.83,83.83,83.83,
1,382.0874947,14.80092304,21.63571365,15.61741963,0.142857143,0.142857143,0.2,27,364.293,364.293,479.825,157.1710017,-0.2956,3.72544,5,0,2,83.83,83.83,47.97,
2,382.0874947,14.80092304,16.76984402,15.61741963,0.142857143,0.142857143,0.208333333,27,364.293,364.293,330.285,157.1710017,-0.2956,3.72544,5,0,2,83.83,83.83,18.84,
3,382.0874947,14.80092304,12.73011839,15.61741963,0.142857143,0.142857143,0.235294118,27,364.293,364.293,278.206,157.1710017,-0.2956,3.72544,5,1,2,83.83,83.83,65.26,
4,382.0874947,14.80092304,6.724990191,15.61741963,0.142857143,0.142857143,0.333333333,27,364.293,364.293,173.558,157.1710017,-0.2956,3.72544,5,0,2,83.83,83.83,29.96,
5,382.0874947,14.80092304,19.76006718,15.61741963,0.142857143,0.142857143,0.285714286,27,364.293,364.293,412.319,157.1710017,-0.2956,3.72544,5,1,2,83.83,83.83,56.69,
6,382.0874947,14.80092304,7.058709813,15.61741963,0.142857143,0.142857143,0,27,364.293,364.293,184.106,157.1710017,-0.2956,3.72544,5,1,2,83.83,83.83,67.51,
7,382.0874947,14.80092304,34.11465457,15.61741963,0.142857143,0.142857143,0.058823529,27,364.293,364.293,968.628,157.1710017,-0.2956,3.72544,5,4,2,83.83,83.83,389.2,
8,382.0874947,14.80092304,35.78682347,15.61741963,0.142857143,0.142857143,0,27,364.293,364.293,1006.704,157.1710017,-0.2956,3.72544,5,2,2,83.83,83.83,349.21,
9,382.0874947,14.80092304,16.63970734,15.61741963,0.142857143,0.142857143,0.142857143,27,364.293,364.293,364.287,157.1710017,-0.2956,3.72544,5,4,2,83.83,83.83,153.52,
10,382.0874947,21.63571365,14.80092304,22.39164259,0.142857143,0.2,0.142857143,37,364.293,479.825,364.293,223.8673792,-0.2956,3.72544,5,2,7,83.83,47.97,83.83,
11,382.0874947,21.63571365,21.63571365,22.39164259,0.142857143,0.2,0.2,37,364.293,479.825,479.825,223.8673792,-0.2956,3.72544,5,0,7,83.83,47.97,47.97,
12,382.0874947,21.63571365,16.76984402,22.39164259,0.142857143,0.2,0.208333333,37,364.293,479.825,330.285,223.8673792,-0.2956,3.72544,5,0,7,83.83,47.97,18.84,
13,382.0874947,21.63571365,12.73011839,22.39164259,0.142857143,0.2,0.235294118,37,364.293,479.825,278.206,223.8673792,-0.2956,3.72544,5,1,7,83.83,47.97,65.26,
14,382.0874947,21.63571365,6.724990191,22.39164259,0.142857143,0.2,0.333333333,37,364.293,479.825,173.558,223.8673792,-0.2956,3.72544,5,0,7,83.83,47.97,29.96,
15,382.0874947,21.63571365,19.76006718,22.39164259,0.142857143,0.2,0.285714286,37,364.293,479.825,412.319,223.8673792,-0.2956,3.72544,5,1,7,83.83,47.97,56.69,
16,382.0874947,21.63571365,7.058709813,22.39164259,0.142857143,0.2,0,37,364.293,479.825,184.106,223.8673792,-0.2956,3.72544,5,1,7,83.83,47.97,67.51,
17,382.0874947,21.63571365,34.11465457,22.39164259,0.142857143,0.2,0.058823529,37,364.293,479.825,968.628,223.8673792,-0.2956,3.72544,5,4,7,83.83,47.97,389.2,
18,382.0874947,21.63571365,35.78682347,22.39164259,0.142857143,0.2,0,37,364.293,479.825,1006.704,223.8673792,-0.2956,3.72544,5,2,7,83.83,47.97,349.21,
19,382.0874947,21.63571365,16.63970734,22.39164259,0.142857143,0.2,0.142857143,37,364.293,479.825,364.287,223.8673792,-0.2956,3.72544,5,4,7,83.83,47.97,153.52,
20,382.0874947,16.76984402,14.80092304,16.76984402,0.142857143,0.208333333,0.142857143,27,364.293,330.285,364.293,162.2081523,-0.2956,3.72544,3,2,4,83.83,18.84,83.83,
21,382.0874947,16.76984402,21.63571365,16.76984402,0.142857143,0.208333333,0.2,27,364.293,330.285,479.825,162.2081523,-0.2956,3.72544,3,0,4,83.83,18.84,47.97,
22,382.0874947,16.76984402,16.76984402,16.76984402,0.142857143,0.208333333,0.208333333,27,364.293,330.285,330.285,162.2081523,-0.2956,3.72544,3,0,4,83.83,18.84,18.84,
23,382.0874947,16.76984402,12.73011839,16.76984402,0.142857143,0.208333333,0.235294118,27,364.293,330.285,278.206,162.2081523,-0.2956,3.72544,3,1,4,83.83,18.84,65.26,
24,382.0874947,16.76984402,6.724990191,16.76984402,0.142857143,0.208333333,0.333333333,27,364.293,330.285,173.558,162.2081523,-0.2956,3.72544,3,0,4,83.83,18.84,29.96,
25,382.0874947,16.76984402,19.76006718,16.76984402,0.142857143,0.208333333,0.285714286,27,364.293,330.285,412.319,162.2081523,-0.2956,3.72544,3,1,4,83.83,18.84,56.69,
26,382.0874947,16.76984402,7.058709813,16.76984402,0.142857143,0.208333333,0,27,364.293,330.285,184.106,162.2081523,-0.2956,3.72544,3,1,4,83.83,18.84,67.51,
27,382.0874947,16.76984402,34.11465457,16.76984402,0.142857143,0.208333333,0.058823529,27,364.293,330.285,968.628,162.2081523,-0.2956,3.72544,3,4,4,83.83,18.84,389.2,
28,382.0874947,16.76984402,35.78682347,16.76984402,0.142857143,0.208333333,0,27,364.293,330.285,1006.704,162.2081523,-0.2956,3.72544,3,2,4,83.83,18.84,349.21,
29,382.0874947,16.76984402,16.63970734,16.76984402,0.142857143,0.208333333,0.142857143,27,364.293,330.285,364.287,162.2081523,-0.2956,3.72544,3,4,4,83.83,18.84,153.52,
30,382.0874947,12.73011839,14.80092304,12.73011839,0.142857143,0.235294118,0.142857143,22,364.293,278.206,364.293,129.4755753,-0.2956,3.72544,4,2,6,83.83,65.26,83.83,
31,382.0874947,12.73011839,21.63571365,12.73011839,0.142857143,0.235294118,0.2,22,364.293,278.206,479.825,129.4755753,-0.2956,3.72544,4,0,6,83.83,65.26,47.97,
